data_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,longitudinal,source_name,mom_ed,value,num_item_id,num_value,color
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,produces,510,1,black
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,produces,511,1,blue
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,"",513,0,brown
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,produces,518,1,dark
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,"",528,0,green
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,produces,546,1,orange
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,produces,550,1,red
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,"",563,0,white
51709,29,526,526,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Some College,produces,565,1,yellow
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",510,0,black
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",511,0,blue
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",513,0,brown
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",518,0,dark
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",528,0,green
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,546,1,orange
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",550,0,red
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",563,0,white
51710,26,190,190,English,WS,Fifth,Other,Female,,TRUE,FALSE,Marchman,Some Secondary,"",565,0,yellow
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",510,0,black
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",511,0,blue
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",513,0,brown
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",518,0,dark
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",528,0,green
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",546,0,orange
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",550,0,red
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",563,0,white
51711,18,32,32,English,WS,Fourth,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",565,0,yellow
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",513,0,brown
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",518,0,dark
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",528,0,green
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",546,0,orange
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",550,0,red
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51712,24,126,126,English,WS,Second,Hispanic,Male,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",510,0,black
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,511,1,blue
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",513,0,brown
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",518,0,dark
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",528,0,green
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",546,0,orange
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",550,0,red
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",563,0,white
51713,28,199,199,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",565,0,yellow
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,510,1,black
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,511,1,blue
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",513,0,brown
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",518,0,dark
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,528,1,green
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,546,1,orange
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,550,1,red
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",563,0,white
51714,24,330,330,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",565,0,yellow
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,produces,511,1,blue
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,produces,513,1,brown
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,"",518,0,dark
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,"",528,0,green
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,"",546,0,orange
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,"",550,0,red
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51715,26,181,181,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",510,0,black
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",511,0,blue
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",513,0,brown
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",518,0,dark
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",528,0,green
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",546,0,orange
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",550,0,red
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",563,0,white
51716,16,16,16,English,WS,Third,Hispanic,Male,,TRUE,FALSE,Marchman,Primary,"",565,0,yellow
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",510,0,black
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",511,0,blue
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",513,0,brown
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",518,0,dark
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",528,0,green
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",546,0,orange
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",550,0,red
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",563,0,white
51717,17,166,166,English,WS,Sixth,White,Male,,TRUE,FALSE,Marchman,Some College,"",565,0,yellow
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,510,1,black
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,511,1,blue
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,513,1,brown
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,518,1,dark
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,528,1,green
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,546,1,orange
51718,30,643,643,English,WS,Third,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,550,1,red
